"blockgr2020_ctr_neighb_name","longitude","latitude"
"Allston",-71.1290914608431,42.3575822821165
"Back Bay",-71.0811013943266,42.3495247264924
"Beacon Hill",-71.0677189674996,42.3569320851898
"Brighton",-71.1552360724888,42.3479703683702
"Charlestown",-71.0616664516489,42.37977080799
"Chinatown",-71.0616396445562,42.3491185888216
"Dorchester",-71.0620553913712,42.2984955181046
"Downtown",-71.0562244630163,42.3558914897746
"East Boston",-71.015503186351,42.3715916501053
"Fenway",-71.1010441513351,42.3524356173367
"Harbor Islands",-70.965094753019,42.3286697260761
"Hyde Park",-71.1273178735717,42.2561617915808
"Jamaica Plain",-71.1144161843378,42.3091717688986
"Longwood",-71.1050954798252,42.3385116105416
"Mattapan",-71.0913928945571,42.2769952040155
"Mission Hill",-71.1024477974299,42.3317363121964
"North End",-71.0529994972655,42.3665463078505
"Roslindale",-71.1263441342617,42.2832514298252
"Roxbury",-71.0857516552944,42.3191369282772
"South Boston",-71.0400491180389,42.3343606607356
"South Boston Waterfront",-71.0364906090436,42.3464752985924
"South End",-71.0713785680222,42.3421519228318
"West End",-71.0650779421832,42.365074310766
"West Roxbury",-71.1608292068808,42.281391162917
